M57 , 0, CDS, 283.396, +33.029,   1.2,   1.2,   90, PN, M  57, , , NGC  6720,,, 
M58 , 0, CDS, 189.432, +11.818,   5.6,   4.4,   88, Seyfert, M  58, , , NGC  4579,,, 
M59 , 0, CDS, 190.509, +11.647,   5.5,   4.0,  164, GinGroup, M  59, , , NGC  4621,,, 
M60 , 0, CDS, 190.917, +11.553,   7.9,   6.6,  104, GinPair, M  60, , , NGC  4649,,, 
M61 , 0, CDS, 185.479, +04.474,   6.2,   5.5,    ~, Seyfert_2, M  61, , , NGC  4303,,, 
M62 , 0, CDS, 255.303, -30.112,   2.5,   2.5,    0, GlCl, M  62, , , NGC  6266,,, 
M63 , 0, CDS, 198.955, +42.029,  13.2,   7.9,  102, LINER, M  63, , , NGC  5055,,, 
M64 , 0, CDS, 194.182, +21.683,   9.8,   4.9,  115, Seyfert, M  64, , , NGC  4826,,, 
M65 , 0, CDS, 169.733, +13.092,   8.3,   2.1,  174, GinPair, M  65, , , NGC  3623,,, 
M66 , 0, CDS, 170.063, +12.991,   8.5,   3.8,  173, GinPair, M  66, , , NGC  3627,,, 
M67 , 0, CDS, 132.846, +11.814,  25.0,  25.0,    0, OpCl, M  67, , , NGC  2682,,, 
M68 , 0, CDS, 189.867, -26.744,   3.1,   3.1,    0, GlCl, M  68, , , NGC  4590,,, 
M69 , 0, CDS, 277.846, -32.348,   4.2,   4.2,    0, GlCl, M  69, , , NGC  6637,,, 
M70 , 0, CDS, 280.803, -32.292,   1.9,   1.9,    0, GlCl, M  70, , , NGC  6681,,, 
M71 , 0, CDS, 298.444, +18.779,   3.3,   3.3,    0, GlCl, M  71, , , NGC  6838,,, 
M72 , 0, CDS, 313.365, -12.537,   9.0,   9.0,    0, GlCl, M  72, , , NGC  6981,,, 
M73 , 0, CDS, 314.75 , -12.63 ,     ~,     ~,    ~, Cl*, M  73, , , NGC  6994,,, Cl Collinder  426
M74 , 0, CDS, 024.174, +15.784,   9.3,   8.7,    ~, Galaxy, M  74, , , NGC   628,,, 
M75 , 0, CDS, 301.520, -21.922,   2.4,   2.1,   55, GlCl, M  75, , , NGC  6864,,, 
M76 , 0, CDS, 025.582, +51.575,   2.3,   2.3,   90, PN, M  76, , , NGC   651/NGC   650,,, 
M77 , 0, CDS, 040.670, -00.013,   6.9,   6.0,   72, GinPair, M  77, , , NGC  1068,,, 
M78 , 0, CDS, 086.691, +00.079,     ~,     ~,    ~, RfNeb, M  78, , , NGC  2068,,, 
M79 , 0, CDS, 081.044, -24.524,   1.6,   1.6,    0, GlCl, M  79, , , NGC  1904,,, 
M80 , 0, CDS, 244.260, -22.976,   1.3,   1.3,    0, GlCl, M  80, , , NGC  6093,,, 
M81 , 0, CDS, 148.888, +69.065,  21.4,  10.2,  157, Seyfert_2, M  81, , , NGC  3031,,, 
M82 , 0, CDS, 148.968, +69.680,     ~,     ~,    ~, IG, M  82, , , NGC  3034,,, 
M83 , 0, CDS, 204.254, -29.866,  13.8,  12.9,    ~, StarburstG, M  83, , , NGC  5236,,, 
