M12 , 0, CDS, 251.809, -01.949,   4.3,   4.3,    0, GlCl,  12,  6218,,, 
M10 , 0, CDS, 254.288, -04.100,   3.6,   3.6,    0, GlCl,  10,  6254,,, 
M62 , 0, CDS, 255.303, -30.112,   2.5,   2.5,    0, GlCl,  62,  6266,,, 
M92 , 0, CDS, 259.281, +43.136,   2.2,   2.2,    0, GlCl,  92,  6341,,, 
M6  , 0, CDS, 265.069, -32.242,  20.0,  20.0,   90, OpCl,   6,  6405,,, 
IC 4665, 0, CDS, 266.554, +05.615,  60.7,  60.7,    0, OpCl, , ,IC 4665,  179,  349
M7  , 0, CDS, 268.447, -34.841, 100.1, 100.1,    0, OpCl,   7,  6475,,, 
NGC 6520, 0, CDS, 270.856, -27.884,   3.4,   3.4,    0, OpCl, ,  6520,,, 
M8  , 0, CDS, 270.904, -24.387,     ~,     ~,    ~, HII,   8, ,,, 
M17 , 0, CDS, 275.196, -16.172,   1.6,   1.6,   90, OpCl,  17,  6618,,, 
NGC 6633, 0, CDS, 276.880, +06.570,  43.2,  43.2,    0, OpCl, ,  6633,,, 
M22 , 0, CDS, 279.100, -23.905,   6.5,   6.5,    0, GlCl,  22,  6656,,, 
IC 4756, 0, CDS, 279.630, +05.490,  64.1,  64.1,    0, OpCl, , ,IC 4756,  210, 
M11 , 0, CDS, 282.766, -06.272,   8.9,   8.9,    0, OpCl,  11,  6705,,  213,  391
NGC 6709, 0, CDS, 282.836, +10.334,  16.8,  16.8,    0, OpCl, ,  6709,,, 
M57 , 0, CDS, 283.396, +33.029,   1.2,   1.2,   90, PN,  57,  6720,,, 
Cl Collinder 399, 0, CDS, 291.35 , +20.18 ,     ~,     ~,    ~, Cl*, , ,,,  399
NGC 6818, 0, CDS, 295.992, -14.154,   0.6,   0.4,  120, PN, ,  6818,,, 
NGC 6826, 0, CDS, 296.201, +50.525,   0.7,   0.6,   90, PN, ,  6826,,, 
M27 , 0, CDS, 299.902, +22.721,   0.1,   0.1,   90, PN,  27,  6853,,, 
NGC 6910, 0, CDS, 305.797, +40.771,  10.7,  10.7,    0, OpCl, ,  6910,,, 
NGC 6934, 0, CDS, 308.547, +07.404,   1.2,   1.2,    0, GlCl, ,  6934,,, 
NGC 6940, 0, CDS, 308.626, +28.278,  30.0,  30.0,    0, OpCl, ,  6940,,  232, 
NGC 7009, 0, CDS, 316.045, -11.363,   0.7,   0.5,   70, PN, ,  7009,,, 
M15 , 0, CDS, 322.493, +12.167,  22.2,  22.2,    0, GlCl,  15,  7078,,, 
M2  , 0, CDS, 323.363, -00.823,   1.9,   1.9,    0, GlCl,   2,  7089,,, 
M39 , 0, CDS, 322.889, +48.247, 120.4, 120.4,    0, OpCl,  39,  7092,,, 
NGC 7160, 0, CDS, 328.448, +62.589,   9.0,   9.0,    0, OpCl, ,  7160,,, 
NGC 7209, 0, CDS, 331.224, +46.508,  36.5,  36.5,    0, OpCl, ,  7209,,, 
NGC 7243, 0, CDS, 333.788, +49.830,  30.6,  30.6,    0, OpCl, ,  7243,,, 
NGC 7662, 0, CDS, 351.473, +42.535,   0.3,   0.3,   90, PN, ,  7662,,, 
NGC 7789, 0, CDS, 359.   , +57.   ,  25.3,  25.3,    0, OpCl, ,  7789,,  245, 
